Rk,Class,Unnamed: 2,Player,Team,Conf,Minutes_Avg,PRPG,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,Unnamed: 21,3P/100,3P,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Last_5_Avg_FP,Opp_Def_Rank
522,So,6-5,TJ Nadeau,Detroit Mercy,Horz,24.88,2.6,3.3,123.7,19.4,60.3,63.8,3.9,11.7,8.7,14.2,1.1,1.6,32.8,28-55,0.509,9.9,28-61,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,15
523,Sr,6-3,Xaivian Lee,Florida,SEC,28.160000000000004,2.6,5.1,114.3,19.7,44.2,49.7,1.8,13.9,19.8,14.7,0.7,1.9,29.9,32-62,0.516,12.3,27-102,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,272
524,Sr,6-10,Grant Asman,Lipscomb,ASun,27.439999999999998,2.6,4.9,118.3,21.0,59.7,62.9,5.8,22.5,13.4,14.0,4.1,1.7,26.4,38-59,0.644,11.4,32-85,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,258
525,Sr,6-2,Tre Dinkins,George Washington,A10,23.680000000000003,2.6,4.3,124.3,18.9,64.3,66.3,1.9,8.9,16.1,20.0,0.9,1.2,19.7,11-19,0.579,15.0,45-103,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,144
526,Jr,6-9,Emondrek Erkins-Ford,Jacksonville St.,CUSA,21.8,2.6,3.9,127.3,19.7,61.8,64.3,7.4,15.7,15.7,10.8,5.9,0.6,80.9,36-56,0.643,2.6,4-12,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,221
527,Sr,6-6,Jevin Muniz,Colorado St.,MWC,30.239999999999995,2.5,3.5,117.9,18.4,52.3,54.5,3.4,14.1,27.3,17.8,1.4,2.1,26.2,38-68,0.559,5.3,12-39,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,201
528,Sr,6-2,Justin Wright,UNC Asheville,BSth,33.32,2.5,-0.0,106.4,27.3,54.7,58.7,1.5,8.5,18.4,20.3,0.0,2.0,37.0,66-127,0.52,7.5,26-65,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,146
529,Jr,6-5,Desmond Claude,Washington,B10,21.200000000000003,2.5,1.1,108.9,24.0,46.5,53.2,2.5,7.5,13.5,14.6,0.3,0.9,36.7,46-99,0.465,5.1,9-29,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,62
530,So,6-1,Kolton Mitchell,Idaho,BSky,30.08,2.5,0.7,108.8,26.8,45.9,51.6,1.4,9.5,22.6,12.8,0.3,2.1,43.7,23-66,0.348,13.7,33-92,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,92
531,Jr,6-3,Luke Almodovar,Southeast Missouri S,OVC,27.0,2.5,2.3,117.0,22.5,56.1,58.6,1.8,15.4,4.3,8.5,0.9,2.1,31.8,40-70,0.571,12.9,32-87,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,85
532,Sr,5-11,David Coit,Maryland,B10,27.76,2.5,2.6,112.1,21.9,51.6,56.5,0.5,8.9,23.5,18.0,0.0,1.5,26.9,24-59,0.407,12.8,39-101,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,44
533,Fr,6-7,Jalen Haralson,Notre Dame,ACC,24.08,2.5,2.8,101.2,33.9,50.0,53.3,5.9,9.6,22.2,19.3,2.0,1.1,54.5,76-150,0.507,2.7,5-17,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,30
534,Fr,6-1,Leroy Blyden Jr.,Toledo,MAC,33.239999999999995,2.5,1.5,111.3,22.6,47.3,53.3,1.9,9.2,22.1,13.9,1.2,2.9,34.1,37-91,0.407,9.2,28-76,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,26
535,Sr,5-11,Bernie Blunt,Mercyhurst,NEC,30.92,2.5,0.6,111.4,26.0,50.0,55.6,1.8,9.1,14.2,9.3,0.3,1.5,37.7,51-102,0.5,10.8,27-81,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,74
536,So,6-1,Tahaad Pettiford,Auburn,SEC,29.6,2.5,1.4,105.5,24.9,45.3,49.9,2.1,8.8,18.9,18.3,2.8,2.1,26.5,46-97,0.474,12.5,31-107,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,328
537,Jr,6-5,Ernest Shelton,Merrimack,MAAC,35.2,2.5,0.7,113.9,20.7,51.0,57.5,1.8,6.9,4.5,7.1,1.5,2.3,42.6,23-54,0.426,14.6,54-150,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,198
538,Sr,6-7,Johnathan Lawson,Little Rock,OVC,35.8,2.5,-0.1,109.3,23.1,51.1,55.6,2.2,8.9,22.1,17.4,1.1,3.0,31.9,39-84,0.464,11.0,37-101,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,128
539,Jr,6-5,Jackson Hicke,Princeton,Ivy,34.56,2.5,1.7,112.2,21.9,56.4,59.1,4.1,13.0,19.5,15.8,1.3,1.3,26.3,56-110,0.509,7.4,30-69,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,91
540,Jr,6-1,Jaylen Curry,Oklahoma St.,B12,22.840000000000003,2.5,4.6,114.8,21.3,46.5,52.4,0.6,12.9,29.1,11.8,0.3,3.1,39.1,49-97,0.505,4.3,7-31,0.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,167
541,Sr,6-10,Veljko Ilic,Sam Houston St.,CUSA,24.8,2.5,3.6,117.5,22.2,54.9,55.6,15.2,19.7,18.1,15.6,1.1,1.7,40.2,56-101,0.554,0.2,0-1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,336
542,Fr,6-4,Trey McKenney,Michigan,B10,21.04,2.5,6.0,123.2,18.6,58.9,63.6,2.7,9.7,8.1,14.2,0.0,1.2,35.5,24-34,0.706,12.1,26-73,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,242
543,Sr,6-5,Jake Heidbreder,Fresno St.,MWC,37.480000000000004,2.5,1.6,107.0,22.6,50.0,55.0,1.2,7.0,12.7,14.8,0.0,2.3,25.7,53-98,0.541,11.7,36-116,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,325
544,Sr,6-11,Baba Miller,Cincinnati,B12,25.52,2.5,8.9,110.3,21.6,58.2,58.8,8.2,32.3,20.6,18.0,5.7,2.0,58.2,61-90,0.678,2.9,2-20,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,299
545,Sr,7-0,Isaac Johnson,Hawaii,BW,21.319999999999997,2.5,8.8,117.9,27.6,56.7,63.1,11.7,23.5,12.8,18.2,5.3,1.8,45.5,44-73,0.603,7.8,13-39,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,264
546,Jr,6-8,Alton Hamilton IV,Eastern Washington,BSky,25.8,2.5,0.5,114.8,22.4,57.6,60.7,9.3,18.0,15.5,18.7,1.5,0.9,44.5,55-98,0.561,3.0,9-21,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,26
547,So,6-5,Jamie Phillips Jr.,Stetson,ASun,29.72,2.5,-0.5,106.5,26.0,51.8,55.2,3.3,16.4,20.2,13.5,1.0,0.9,40.6,55-107,0.514,8.2,22-63,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,143
548,Sr,6-7,Djahi Binet,Southern Miss,SB,24.8,2.5,3.0,125.7,18.7,64.7,66.8,13.7,21.5,8.5,16.1,3.4,1.4,65.2,58-88,0.659,0.6,1-4,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,281
549,Sr,6-1,Kolby King,Utah St.,MWC,20.96,2.5,6.3,132.2,16.0,65.3,68.1,3.0,16.6,10.1,14.7,0.0,2.0,47.2,17-25,0.68,9.2,20-47,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,50
550,Sr,6-9,Julius Mims,New Mexico St.,CUSA,25.72,2.5,2.5,124.8,16.3,59.0,62.1,9.8,24.4,3.3,11.6,4.0,0.6,37.2,37-64,0.578,2.7,6-14,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,328
551,So,7-1,Bukky Oboye,Santa Clara,WCC,17.96,2.5,5.5,130.3,18.1,70.6,70.1,12.2,15.0,5.5,16.4,9.1,2.4,30.9,61-83,0.735,2.4,5-14,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,105
552,Sr,6-4,Jemel Jones,New Mexico St.,CUSA,26.200000000000003,2.5,5.8,107.0,28.9,41.8,49.3,5.3,12.2,16.3,10.3,1.6,4.3,41.1,43-99,0.434,8.8,12-47,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,15
553,Fr,6-1,Joel Foxwell,Portland,WCC,34.84,2.5,1.6,106.5,24.7,51.6,54.0,1.2,11.6,39.4,20.0,0.4,1.7,20.5,57-116,0.491,9.2,36-99,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,276
554,Sr,6-4,Robert McCray V,Florida St.,ACC,27.639999999999997,2.5,2.3,104.2,29.0,50.6,52.9,3.5,10.7,46.5,23.8,1.0,2.6,33.0,65-124,0.524,6.6,17-55,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,253
555,Sr,6-10,Giovanni Emejuru,East Carolina,Amer,31.0,2.5,2.1,113.2,21.9,57.3,60.1,14.1,20.7,4.3,16.3,5.9,1.9,76.9,67-117,0.573,0.0,0-0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,134
556,Sr,6-1,Jestin Porter,Clemson,ACC,24.72,2.5,6.6,114.5,22.4,51.3,55.3,3.4,5.3,11.6,10.7,0.6,3.1,27.7,29-63,0.46,13.5,35-96,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,310
557,Jr,6-1,Dra Gibbs-Lawhorn,UNLV,MWC,31.76,2.5,2.3,109.6,22.5,53.5,57.4,1.0,9.4,17.6,16.8,2.0,2.5,28.5,50-90,0.556,10.0,28-82,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,155
558,Fr,6-7,Declan Wucherpfennig,Fairfield,MAAC,31.919999999999998,2.5,0.4,120.7,18.4,54.8,57.3,8.9,18.2,8.6,11.9,2.1,1.1,33.6,65-115,0.565,3.6,10-31,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,334
559,Jr,6-1,Makaih Williams,Grand Canyon,MWC,22.319999999999997,2.5,6.7,116.6,26.0,52.1,56.7,5.1,6.4,20.3,13.3,0.4,2.9,33.6,37-66,0.561,12.8,24-74,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,232
560,Sr,6-4,Jordan Riley,East Carolina,Amer,36.239999999999995,2.5,4.0,100.5,30.6,47.2,50.3,4.0,13.0,14.6,13.3,2.1,3.2,43.7,97-208,0.466,4.4,13-39,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,86
561,So,6-3,Kahmare Holmes,Wofford,SC,31.039999999999996,2.5,2.7,111.6,27.5,52.9,56.6,4.8,17.9,17.5,14.3,1.1,3.8,50.3,68-123,0.553,8.4,22-68,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,340
562,Sr,6-9,Sam Alexis,Indiana,B10,18.68,2.5,7.1,131.2,18.0,66.4,70.7,14.1,16.5,11.9,19.2,5.3,1.2,54.7,41-61,0.672,0.6,1-3,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,284
563,Sr,6-2,Meechie Johnson,South Carolina,SEC,29.760000000000005,2.5,4.1,109.7,25.2,49.7,55.1,0.8,12.0,25.5,15.6,0.4,2.5,44.0,39-78,0.5,10.8,29-88,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,107
564,Jr,6-8,Almar Atlason,Miami OH,MAC,19.680000000000003,2.5,3.7,127.9,22.4,65.7,69.4,1.4,14.5,9.5,12.6,1.2,0.6,39.2,25-35,0.714,13.5,28-67,0.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,221
565,So,6-8,Cooper Koch,Iowa,B10,25.2,2.5,5.8,128.6,13.3,62.1,64.0,5.2,13.1,6.3,11.5,1.0,2.0,21.8,21-34,0.618,8.1,22-53,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,345
566,So,6-4,Trent Perry,UCLA,B10,21.76,2.5,4.1,117.1,21.9,53.4,59.0,3.2,9.6,18.5,14.6,0.0,2.0,53.8,33-65,0.508,6.6,15-39,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,308
567,So,6-4,Peter Bandelj,Cal Poly,BW,28.88,2.5,1.7,114.4,21.3,52.6,58.5,3.2,10.1,20.0,16.8,0.7,2.1,41.0,31-73,0.425,9.3,34-83,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,196
568,Sr,6-9,Jaiden Feroah,Southern Utah,WAC,28.680000000000003,2.5,3.9,114.5,20.9,57.0,61.6,6.9,18.2,11.8,16.7,7.4,1.5,29.7,49-85,0.576,6.0,16-43,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,279
569,Sr,6-9,Niko Rocak,UC Davis,BW,22.880000000000003,2.5,4.0,121.4,19.4,62.8,67.3,6.3,20.0,14.5,18.0,7.8,1.4,64.1,34-47,0.723,5.4,10-31,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,10
570,So,6-6,Billy Richmond III,Arkansas,SEC,22.0,2.5,3.9,125.2,17.0,61.8,64.8,7.6,9.7,11.2,16.5,2.1,1.7,39.3,43-64,0.672,3.9,8-25,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,306
571,Sr,6-8,Jackson Munro,Dartmouth,Ivy,24.92,2.5,3.3,130.2,15.5,60.9,63.4,7.7,12.7,16.0,12.5,4.7,0.2,19.2,22-36,0.611,7.4,17-42,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,223
572,Sr,6-2,Shammah Scott,Akron,MAC,27.319999999999997,2.5,0.6,119.0,19.0,56.4,57.4,0.6,9.8,13.4,12.1,0.0,0.7,15.6,30-63,0.476,11.2,33-78,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,243
573,Sr,6-3,Jay Rodgers,Central Connecticut,NEC,29.64,2.5,-1.9,109.7,26.4,49.2,54.0,0.3,10.2,50.0,20.6,0.3,0.5,29.8,34-79,0.43,7.0,18-45,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,195
574,So,6-7,Caleb Williams,Georgetown,BE,27.639999999999997,2.4,1.0,119.4,15.9,54.4,58.9,5.8,15.2,9.6,12.2,1.3,1.0,32.5,35-63,0.556,6.6,18-51,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,28
575,Sr,6-9,Brenen Lorient,West Virginia,B12,25.08,2.4,6.8,116.8,20.6,56.3,58.6,6.8,16.2,18.4,16.0,6.7,1.5,27.5,51-91,0.56,4.3,11-29,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,214
576,Sr,6-2,Michael Jacobs,Southern,SWAC,27.360000000000003,2.4,1.4,97.8,34.7,44.6,50.2,1.7,14.5,28.6,16.9,0.3,2.9,53.8,58-141,0.411,6.5,16-43,0.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,59
577,Sr,6-4,Takai Simpkins,Oregon,B10,30.32,2.4,2.7,112.9,19.2,57.8,61.2,1.8,8.3,15.3,21.8,0.9,1.6,34.8,29-53,0.547,10.5,35-88,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,333
578,Sr,5-9,Kareem Rozier,Winthrop,BSth,30.12,2.4,2.1,116.1,20.7,48.8,50.8,0.8,8.9,20.2,7.8,0.0,2.7,15.3,28-78,0.359,14.3,47-124,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,50
579,Sr,6-3,Dallin Hall,Virginia,ACC,26.400000000000002,2.4,4.3,127.0,14.4,53.3,57.5,6.2,6.9,23.4,20.9,0.5,1.9,30.3,15-30,0.5,6.3,17-46,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,6
580,Jr,6-2,K'Jei Parker,Massachusetts,MAC,21.519999999999996,2.4,4.9,124.7,21.3,62.4,66.5,1.0,8.3,23.1,16.8,0.0,1.9,24.0,25-47,0.532,12.8,37-82,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,340
581,Jr,6-0,Trevor Mullin,Yale,Ivy,27.04,2.4,0.5,118.0,19.5,49.5,55.2,2.5,7.4,18.5,13.9,0.0,1.7,36.3,19-43,0.442,10.0,21-59,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,114
582,So,6-1,David Castillo,Kansas St.,B12,23.759999999999998,2.4,2.6,117.1,21.3,54.5,57.2,2.3,9.6,15.7,12.5,0.3,0.6,20.5,40-72,0.556,11.8,30-84,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,256
583,Sr,6-2,Donovan Dent,UCLA,B10,31.200000000000003,2.4,2.3,102.0,26.5,43.0,46.8,1.0,8.6,35.7,16.0,1.8,2.8,47.1,71-150,0.473,2.6,2-22,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,137
584,Jr,6-4,Trevan Leonhardt,Utah Valley,WAC,33.8,2.4,5.6,112.9,19.3,59.1,63.2,2.6,15.2,28.3,26.8,2.9,3.4,37.9,49-79,0.62,4.1,13-37,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,141
585,Sr,6-7,Alden Applewhite,Georgia Southern,SB,28.919999999999998,2.4,1.4,119.9,19.2,51.9,58.5,5.2,16.7,10.0,10.9,0.0,2.2,61.7,39-74,0.527,6.8,20-59,0.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,79
586,Sr,6-1,Jalen Speer,Marshall,SB,31.080000000000002,2.4,0.4,106.6,26.8,46.7,50.0,0.7,12.4,35.8,17.4,0.4,1.5,19.8,33-86,0.384,14.3,44-126,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,361
587,Jr,6-6,Filip Brankovic,UT Rio Grande Valley,Slnd,24.8,2.4,2.1,111.4,24.9,57.1,59.0,8.3,14.7,13.9,15.6,2.3,1.3,16.4,56-96,0.583,7.4,16-44,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,29
588,So,6-6,Lachlan Brewer,Idaho St.,BSky,29.48,2.4,0.1,125.3,14.4,64.1,66.3,6.2,9.2,7.0,18.0,1.3,1.1,20.7,29-41,0.707,7.4,20-51,0.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,179
589,Jr,6-9,Chase Walker,Illinois St.,MVC,23.52,2.4,3.3,107.8,32.1,49.7,55.1,10.9,16.8,21.7,17.7,1.5,2.0,60.3,72-137,0.526,2.1,2-14,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,265
590,Sr,6-4,Dezayne Mingo,Charlotte,Amer,26.919999999999998,2.4,1.6,115.3,21.8,48.0,52.4,3.2,11.5,31.0,16.6,0.0,2.4,28.6,29-73,0.397,8.0,21-53,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,77
591,So,6-7,Jalik Dunkley,Nicholls St.,Slnd,27.200000000000003,2.4,1.5,111.8,22.7,60.2,59.2,9.3,20.4,7.9,13.6,2.3,2.5,68.0,66-108,0.611,2.0,5-14,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,41
