Rk,Class,Unnamed: 2,Player,Team,Conf,Minutes_Avg,PRPG,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,Unnamed: 21,3P/100,3P,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Last_5_Avg_FP,Opp_Def_Rank
764,Jr,6-8,Jaylen Carey,Tennessee,SEC,18.44,2.1,5.0,114.2,25.8,53.1,53.2,18.6,19.0,13.9,13.5,0.0,1.4,50.4,60-109,0.55,0.8,0-4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,343
765,Sr,6-5,Elijah Lewis,Marist,MAAC,29.960000000000004,2.1,2.4,114.2,20.1,52.2,58.0,4.1,12.7,10.8,12.4,0.5,2.2,41.9,59-106,0.557,3.9,8-30,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,177
766,Sr,6-10,Malek Abdelgowad,Southern,SWAC,18.36,2.1,3.3,115.3,26.5,67.2,67.9,10.2,25.9,7.3,20.2,2.4,1.8,49.5,55-86,0.64,1.6,5-7,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,343
767,So,6-8,Carson Schwieger,Queens,ASun,19.96,2.1,0.5,130.3,16.7,62.5,62.5,4.0,13.6,7.1,6.3,0.0,0.9,10.7,7-12,0.583,17.6,42-100,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,135
768,Sr,6-2,Nik Graves,Creighton,BE,24.32,2.1,2.6,109.3,22.0,47.2,52.5,2.9,10.3,24.5,16.8,0.2,2.4,40.7,28-57,0.491,9.4,20-66,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,80
769,Fr,6-3,Killyan Toure,Iowa St.,B12,27.360000000000003,2.1,4.8,111.1,20.4,52.4,56.3,5.3,10.4,15.9,20.9,1.1,3.7,35.4,50-90,0.556,4.8,11-37,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,303
770,Jr,6-1,Urban Klavzar,Florida,SEC,20.72,2.1,4.2,120.6,17.6,53.2,58.7,1.9,5.0,8.9,17.7,0.3,1.0,29.1,12-24,0.5,14.1,31-86,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,35
771,So,6-4,Wesley Yates III,Washington,B10,22.519999999999996,2.1,3.4,108.7,22.3,48.4,53.4,4.0,9.9,5.3,13.4,0.6,3.0,40.3,28-61,0.459,11.3,23-68,0.338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,292
772,Jr,6-7,Victor Valdes,Troy,SB,28.28,2.1,0.1,100.1,31.6,45.1,51.7,3.5,11.6,29.8,22.0,1.2,2.9,53.8,62-124,0.5,7.6,14-60,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,242
773,Jr,6-2,Izzy Miles,Northwestern St.,Slnd,23.159999999999997,2.1,-0.4,111.3,22.7,61.5,64.1,2.3,8.2,11.9,18.4,1.4,1.1,56.3,32-64,0.5,5.8,18-32,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35,99
