Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,So,6-4,Eric Mahaffey,Akron,MAC,58.9,2.6,3.5,126.6,17.8,60.2,61.2,11.2,20.2,12.6,15.0,1.8,1.8,22.6,41-67,.612,4.3,10-26,.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Jr,6-6,Nils Cooper,UC Davis,BW,67.6,2.6,2.4,112.5,23.5,57.2,61.5,5.3,15.7,15.4,17.0,1.5,3.3,59.3,60-95,.632,3.4,5-23,.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,So,6-5,TJ Nadeau,Detroit Mercy,Horz,62.2,2.6,3.3,123.7,19.4,60.3,63.8,3.9,11.7,8.7,14.2,1.1,1.6,32.8,28-55,.509,9.9,28-61,.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Sr,6-3,Xaivian Lee,Florida,SEC,70.4,2.6,5.1,114.3,19.7,44.2,49.7,1.8,13.9,19.8,14.7,0.7,1.9,29.9,32-62,.516,12.3,27-102,.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Sr,6-10,Grant Asman,Lipscomb,ASun,68.6,2.6,4.9,118.3,21.0,59.7,62.9,5.8,22.5,13.4,14.0,4.1,1.7,26.4,38-59,.644,11.4,32-85,.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Sr,6-2,Tre Dinkins,George Washington,A10,59.2,2.6,4.3,124.3,18.9,64.3,66.3,1.9,8.9,16.1,20.0,0.9,1.2,19.7,11-19,.579,15.0,45-103,.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Jr,6-9,Emondrek Erkins-Ford,Jacksonville St.,CUSA,54.5,2.6,3.9,127.3,19.7,61.8,64.3,7.4,15.7,15.7,10.8,5.9,0.6,80.9,36-56,.643,2.6,4-12,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Sr,6-6,Jevin Muniz,Colorado St.,MWC,75.6,2.5,3.5,117.9,18.4,52.3,54.5,3.4,14.1,27.3,17.8,1.4,2.1,26.2,38-68,.559,5.3,12-39,.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Sr,6-2,Justin Wright,UNC Asheville,BSth,83.3,2.5,-0.0,106.4,27.3,54.7,58.7,1.5,8.5,18.4,20.3,0.0,2.0,37.0,66-127,.520,7.5,26-65,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Jr,6-5,Desmond Claude,Washington,B10,53.0,2.5,1.1,108.9,24.0,46.5,53.2,2.5,7.5,13.5,14.6,0.3,0.9,36.7,46-99,.465,5.1,9-29,.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,So,6-1,Kolton Mitchell,Idaho,BSky,75.2,2.5,0.7,108.8,26.8,45.9,51.6,1.4,9.5,22.6,12.8,0.3,2.1,43.7,23-66,.348,13.7,33-92,.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Jr,6-3,Luke Almodovar,Southeast Missouri S,OVC,67.5,2.5,2.3,117.0,22.5,56.1,58.6,1.8,15.4,4.3,8.5,0.9,2.1,31.8,40-70,.571,12.9,32-87,.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Sr,5-11,David Coit,Maryland,B10,69.4,2.5,2.6,112.1,21.9,51.6,56.5,0.5,8.9,23.5,18.0,0.0,1.5,26.9,24-59,.407,12.8,39-101,.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Fr,6-7,Jalen Haralson,Notre Dame,ACC,60.2,2.5,2.8,101.2,33.9,50.0,53.3,5.9,9.6,22.2,19.3,2.0,1.1,54.5,76-150,.507,2.7,5-17,.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Fr,6-1,Leroy Blyden Jr.,Toledo,MAC,83.1,2.5,1.5,111.3,22.6,47.3,53.3,1.9,9.2,22.1,13.9,1.2,2.9,34.1,37-91,.407,9.2,28-76,.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Sr,5-11,Bernie Blunt,Mercyhurst,NEC,77.3,2.5,0.6,111.4,26.0,50.0,55.6,1.8,9.1,14.2,9.3,0.3,1.5,37.7,51-102,.500,10.8,27-81,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,So,6-1,Tahaad Pettiford,Auburn,SEC,74.0,2.5,1.4,105.5,24.9,45.3,49.9,2.1,8.8,18.9,18.3,2.8,2.1,26.5,46-97,.474,12.5,31-107,.290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Jr,6-5,Ernest Shelton,Merrimack,MAAC,88.0,2.5,0.7,113.9,20.7,51.0,57.5,1.8,6.9,4.5,7.1,1.5,2.3,42.6,23-54,.426,14.6,54-150,.360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Sr,6-7,Johnathan Lawson,Little Rock,OVC,89.5,2.5,-0.1,109.3,23.1,51.1,55.6,2.2,8.9,22.1,17.4,1.1,3.0,31.9,39-84,.464,11.0,37-101,.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Jr,6-5,Jackson Hicke,Princeton,Ivy,86.4,2.5,1.7,112.2,21.9,56.4,59.1,4.1,13.0,19.5,15.8,1.3,1.3,26.3,56-110,.509,7.4,30-69,.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Jr,6-1,Jaylen Curry,Oklahoma St.,B12,57.1,2.5,4.6,114.8,21.3,46.5,52.4,0.6,12.9,29.1,11.8,0.3,3.1,39.1,49-97,.505,4.3,7-31,.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Sr,6-10,Veljko Ilic,Sam Houston St.,CUSA,62.0,2.5,3.6,117.5,22.2,54.9,55.6,15.2,19.7,18.1,15.6,1.1,1.7,40.2,56-101,.554,0.2,0-1,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Fr,6-4,Trey McKenney,Michigan,B10,52.6,2.5,6.0,123.2,18.6,58.9,63.6,2.7,9.7,8.1,14.2,0.0,1.2,35.5,24-34,.706,12.1,26-73,.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Sr,6-5,Jake Heidbreder,Fresno St.,MWC,93.7,2.5,1.6,107.0,22.6,50.0,55.0,1.2,7.0,12.7,14.8,0.0,2.3,25.7,53-98,.541,11.7,36-116,.310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Sr,6-11,Baba Miller,Cincinnati,B12,63.8,2.5,8.9,110.3,21.6,58.2,58.8,8.2,32.3,20.6,18.0,5.7,2.0,58.2,61-90,.678,2.9,2-20,.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Sr,7-0,Isaac Johnson,Hawaii,BW,53.3,2.5,8.8,117.9,27.6,56.7,63.1,11.7,23.5,12.8,18.2,5.3,1.8,45.5,44-73,.603,7.8,13-39,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Jr,6-8,Alton Hamilton IV,Eastern Washington,BSky,64.5,2.5,0.5,114.8,22.4,57.6,60.7,9.3,18.0,15.5,18.7,1.5,0.9,44.5,55-98,.561,3.0,9-21,.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,So,6-5,Jamie Phillips Jr.,Stetson,ASun,74.3,2.5,-0.5,106.5,26.0,51.8,55.2,3.3,16.4,20.2,13.5,1.0,0.9,40.6,55-107,.514,8.2,22-63,.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Sr,6-7,Djahi Binet,Southern Miss,SB,62.0,2.5,3.0,125.7,18.7,64.7,66.8,13.7,21.5,8.5,16.1,3.4,1.4,65.2,58-88,.659,0.6,1-4,.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Sr,6-1,Kolby King,Utah St.,MWC,52.4,2.5,6.3,132.2,16.0,65.3,68.1,3.0,16.6,10.1,14.7,0.0,2.0,47.2,17-25,.680,9.2,20-47,.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Sr,6-9,Julius Mims,New Mexico St.,CUSA,64.3,2.5,2.5,124.8,16.3,59.0,62.1,9.8,24.4,3.3,11.6,4.0,0.6,37.2,37-64,.578,2.7,6-14,.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,So,7-1,Bukky Oboye,Santa Clara,WCC,44.9,2.5,5.5,130.3,18.1,70.6,70.1,12.2,15.0,5.5,16.4,9.1,2.4,30.9,61-83,.735,2.4,5-14,.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Sr,6-4,Jemel Jones,New Mexico St.,CUSA,65.5,2.5,5.8,107.0,28.9,41.8,49.3,5.3,12.2,16.3,10.3,1.6,4.3,41.1,43-99,.434,8.8,12-47,.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Fr,6-1,Joel Foxwell,Portland,WCC,87.1,2.5,1.6,106.5,24.7,51.6,54.0,1.2,11.6,39.4,20.0,0.4,1.7,20.5,57-116,.491,9.2,36-99,.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Sr,6-4,Robert McCray V,Florida St.,ACC,69.1,2.5,2.3,104.2,29.0,50.6,52.9,3.5,10.7,46.5,23.8,1.0,2.6,33.0,65-124,.524,6.6,17-55,.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Sr,6-10,Giovanni Emejuru,East Carolina,Amer,77.5,2.5,2.1,113.2,21.9,57.3,60.1,14.1,20.7,4.3,16.3,5.9,1.9,76.9,67-117,.573,0.0,0-0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Sr,6-1,Jestin Porter,Clemson,ACC,61.8,2.5,6.6,114.5,22.4,51.3,55.3,3.4,5.3,11.6,10.7,0.6,3.1,27.7,29-63,.460,13.5,35-96,.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Jr,6-1,Dra Gibbs-Lawhorn,UNLV,MWC,79.4,2.5,2.3,109.6,22.5,53.5,57.4,1.0,9.4,17.6,16.8,2.0,2.5,28.5,50-90,.556,10.0,28-82,.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Fr,6-7,Declan Wucherpfennig,Fairfield,MAAC,79.8,2.5,0.4,120.7,18.4,54.8,57.3,8.9,18.2,8.6,11.9,2.1,1.1,33.6,65-115,.565,3.6,10-31,.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Jr,6-1,Makaih Williams,Grand Canyon,MWC,55.8,2.5,6.7,116.6,26.0,52.1,56.7,5.1,6.4,20.3,13.3,0.4,2.9,33.6,37-66,.561,12.8,24-74,.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Sr,6-4,Jordan Riley,East Carolina,Amer,90.6,2.5,4.0,100.5,30.6,47.2,50.3,4.0,13.0,14.6,13.3,2.1,3.2,43.7,97-208,.466,4.4,13-39,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,So,6-3,Kahmare Holmes,Wofford,SC,77.6,2.5,2.7,111.6,27.5,52.9,56.6,4.8,17.9,17.5,14.3,1.1,3.8,50.3,68-123,.553,8.4,22-68,.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Sr,6-9,Sam Alexis,Indiana,B10,46.7,2.5,7.1,131.2,18.0,66.4,70.7,14.1,16.5,11.9,19.2,5.3,1.2,54.7,41-61,.672,0.6,1-3,.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Sr,6-2,Meechie Johnson,South Carolina,SEC,74.4,2.5,4.1,109.7,25.2,49.7,55.1,0.8,12.0,25.5,15.6,0.4,2.5,44.0,39-78,.500,10.8,29-88,.330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Jr,6-8,Almar Atlason,Miami OH,MAC,49.2,2.5,3.7,127.9,22.4,65.7,69.4,1.4,14.5,9.5,12.6,1.2,0.6,39.2,25-35,.714,13.5,28-67,.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,So,6-8,Cooper Koch,Iowa,B10,63.0,2.5,5.8,128.6,13.3,62.1,64.0,5.2,13.1,6.3,11.5,1.0,2.0,21.8,21-34,.618,8.1,22-53,.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,So,6-4,Trent Perry,UCLA,B10,54.4,2.5,4.1,117.1,21.9,53.4,59.0,3.2,9.6,18.5,14.6,0.0,2.0,53.8,33-65,.508,6.6,15-39,.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,So,6-4,Peter Bandelj,Cal Poly,BW,72.2,2.5,1.7,114.4,21.3,52.6,58.5,3.2,10.1,20.0,16.8,0.7,2.1,41.0,31-73,.425,9.3,34-83,.410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Sr,6-9,Jaiden Feroah,Southern Utah,WAC,71.7,2.5,3.9,114.5,20.9,57.0,61.6,6.9,18.2,11.8,16.7,7.4,1.5,29.7,49-85,.576,6.0,16-43,.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Sr,6-9,Niko Rocak,UC Davis,BW,57.2,2.5,4.0,121.4,19.4,62.8,67.3,6.3,20.0,14.5,18.0,7.8,1.4,64.1,34-47,.723,5.4,10-31,.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,So,6-6,Billy Richmond III,Arkansas,SEC,55.0,2.5,3.9,125.2,17.0,61.8,64.8,7.6,9.7,11.2,16.5,2.1,1.7,39.3,43-64,.672,3.9,8-25,.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Sr,6-8,Jackson Munro,Dartmouth,Ivy,62.3,2.5,3.3,130.2,15.5,60.9,63.4,7.7,12.7,16.0,12.5,4.7,0.2,19.2,22-36,.611,7.4,17-42,.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Sr,6-2,Shammah Scott,Akron,MAC,68.3,2.5,0.6,119.0,19.0,56.4,57.4,0.6,9.8,13.4,12.1,0.0,0.7,15.6,30-63,.476,11.2,33-78,.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Sr,6-3,Jay Rodgers,Central Connecticut,NEC,74.1,2.5,-1.9,109.7,26.4,49.2,54.0,0.3,10.2,50.0,20.6,0.3,0.5,29.8,34-79,.430,7.0,18-45,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,So,6-7,Caleb Williams,Georgetown,BE,69.1,2.4,1.0,119.4,15.9,54.4,58.9,5.8,15.2,9.6,12.2,1.3,1.0,32.5,35-63,.556,6.6,18-51,.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Sr,6-9,Brenen Lorient,West Virginia,B12,62.7,2.4,6.8,116.8,20.6,56.3,58.6,6.8,16.2,18.4,16.0,6.7,1.5,27.5,51-91,.560,4.3,11-29,.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Sr,6-2,Michael Jacobs,Southern,SWAC,68.4,2.4,1.4,97.8,34.7,44.6,50.2,1.7,14.5,28.6,16.9,0.3,2.9,53.8,58-141,.411,6.5,16-43,.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Sr,6-4,Takai Simpkins,Oregon,B10,75.8,2.4,2.7,112.9,19.2,57.8,61.2,1.8,8.3,15.3,21.8,0.9,1.6,34.8,29-53,.547,10.5,35-88,.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Sr,5-9,Kareem Rozier,Winthrop,BSth,75.3,2.4,2.1,116.1,20.7,48.8,50.8,0.8,8.9,20.2,7.8,0.0,2.7,15.3,28-78,.359,14.3,47-124,.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Sr,6-3,Dallin Hall,Virginia,ACC,66.0,2.4,4.3,127.0,14.4,53.3,57.5,6.2,6.9,23.4,20.9,0.5,1.9,30.3,15-30,.500,6.3,17-46,.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Jr,6-2,K'Jei Parker,Massachusetts,MAC,53.8,2.4,4.9,124.7,21.3,62.4,66.5,1.0,8.3,23.1,16.8,0.0,1.9,24.0,25-47,.532,12.8,37-82,.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Jr,6-0,Trevor Mullin,Yale,Ivy,67.6,2.4,0.5,118.0,19.5,49.5,55.2,2.5,7.4,18.5,13.9,0.0,1.7,36.3,19-43,.442,10.0,21-59,.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,So,6-1,David Castillo,Kansas St.,B12,59.4,2.4,2.6,117.1,21.3,54.5,57.2,2.3,9.6,15.7,12.5,0.3,0.6,20.5,40-72,.556,11.8,30-84,.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Sr,6-2,Donovan Dent,UCLA,B10,78.0,2.4,2.3,102.0,26.5,43.0,46.8,1.0,8.6,35.7,16.0,1.8,2.8,47.1,71-150,.473,2.6,2-22,.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Jr,6-4,Trevan Leonhardt,Utah Valley,WAC,84.5,2.4,5.6,112.9,19.3,59.1,63.2,2.6,15.2,28.3,26.8,2.9,3.4,37.9,49-79,.620,4.1,13-37,.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Sr,6-7,Alden Applewhite,Georgia Southern,SB,72.3,2.4,1.4,119.9,19.2,51.9,58.5,5.2,16.7,10.0,10.9,0.0,2.2,61.7,39-74,.527,6.8,20-59,.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Sr,6-1,Jalen Speer,Marshall,SB,77.7,2.4,0.4,106.6,26.8,46.7,50.0,0.7,12.4,35.8,17.4,0.4,1.5,19.8,33-86,.384,14.3,44-126,.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Jr,6-6,Filip Brankovic,UT Rio Grande Valley,Slnd,62.0,2.4,2.1,111.4,24.9,57.1,59.0,8.3,14.7,13.9,15.6,2.3,1.3,16.4,56-96,.583,7.4,16-44,.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,So,6-6,Lachlan Brewer,Idaho St.,BSky,73.7,2.4,0.1,125.3,14.4,64.1,66.3,6.2,9.2,7.0,18.0,1.3,1.1,20.7,29-41,.707,7.4,20-51,.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Jr,6-9,Chase Walker,Illinois St.,MVC,58.8,2.4,3.3,107.8,32.1,49.7,55.1,10.9,16.8,21.7,17.7,1.5,2.0,60.3,72-137,.526,2.1,2-14,.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Sr,6-4,Dezayne Mingo,Charlotte,Amer,67.3,2.4,1.6,115.3,21.8,48.0,52.4,3.2,11.5,31.0,16.6,0.0,2.4,28.6,29-73,.397,8.0,21-53,.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,So,6-7,Jalik Dunkley,Nicholls St.,Slnd,68.0,2.4,1.5,111.8,22.7,60.2,59.2,9.3,20.4,7.9,13.6,2.3,2.5,68.0,66-108,.611,2.0,5-14,.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Sr,6-5,Roddy Gayle Jr.,Michigan,B10,54.7,2.4,7.9,118.8,19.7,55.1,59.6,4.9,11.3,12.9,15.3,2.2,2.6,38.0,43-72,.597,5.7,11-36,.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Jr,6-0,Ty-Laur Johnson,San Diego,WCC,66.6,2.4,1.8,103.5,28.7,48.1,53.5,2.5,9.1,28.6,17.7,1.0,4.4,33.5,62-130,.477,7.3,19-58,.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Jr,6-7,Tavion Banks,Iowa,B10,51.2,2.4,4.8,116.4,24.4,58.2,62.4,10.6,18.9,11.0,18.5,2.0,3.0,56.1,48-84,.571,2.6,6-14,.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Fr,6-1,Jaylen Petty,Texas Tech,B12,66.0,2.4,3.7,121.9,14.5,53.1,56.7,2.0,13.3,10.1,11.2,0.2,1.6,17.7,12-32,.375,10.9,32-81,.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Jr,6-5,Leon Bond III,Northern Iowa,MVC,82.5,2.4,4.0,112.7,19.8,56.4,58.1,3.8,17.4,12.6,10.1,3.3,1.4,26.3,49-96,.510,7.0,26-60,.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
