Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jr,6-8,Milan Momcilovic,Iowa St.,B12,70.6,5.1,12.2,145.3,17.9,73.0,74.4,0.5,12.7,5.7,9.1,0.5,2.3,15.3,37-65,.569,13.9,61-111,.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sr,6-2,Kylan Boswell,Illinois,B10,78.7,5.0,6.8,131.5,21.0,54.6,60.0,5.0,9.4,17.9,11.1,0.0,1.2,43.8,54-90,.600,8.4,23-72,.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,So,6-0,Tyler Tanner,Vanderbilt,SEC,73.9,5.0,13.0,130.5,24.7,58.7,64.0,1.0,12.0,30.6,13.4,2.2,4.8,43.0,66-112,.589,7.6,26-67,.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sr,6-9,Joshua Jefferson,Iowa St.,B12,77.1,5.0,12.9,123.4,28.2,55.6,60.2,7.2,22.5,27.8,16.3,3.7,3.0,54.0,80-143,.559,5.1,16-44,.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Jr,6-1,Dedan Thomas Jr.,LSU,SEC,61.2,4.9,8.0,129.2,26.1,52.9,60.0,1.3,8.2,41.9,12.6,1.1,2.0,52.9,59-105,.562,5.0,10-35,.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sr,6-6,Lamar Wilkerson,Indiana,B10,79.8,4.9,8.7,125.6,25.1,58.2,62.0,0.8,10.5,17.4,9.0,0.4,2.5,27.2,51-99,.515,14.9,56-133,.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jr,7-0,Henri Veesaar,North Carolina,ACC,77.2,4.9,10.7,131.9,21.2,71.4,71.3,9.2,21.7,13.7,15.4,3.7,0.9,40.3,82-118,.695,4.8,21-41,.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fr,6-4,Kingston Flemings,Houston,B12,76.2,4.9,13.5,127.2,24.6,58.2,61.0,1.8,10.4,33.1,14.3,1.4,4.0,27.5,76-132,.576,6.3,20-50,.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Sr,6-7,Nick Townsend,Yale,Ivy,85.9,4.9,4.9,124.4,25.0,55.6,60.3,8.2,17.5,23.6,15.0,0.3,0.7,43.7,54-109,.495,5.6,20-42,.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sr,6-2,Duke Miles,Vanderbilt,SEC,63.1,4.8,12.0,130.1,24.7,55.1,63.7,1.2,9.1,24.6,12.4,1.4,5.3,62.3,46-80,.575,8.8,23-66,.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
